device_count,transactions_per_device,total_transactions,total_time_ms,throughput_tps,avg_latency_ms,p50_latency_ms,p99_latency_ms,total_gas,avg_gas_per_tx,failed_transactions,concurrent_threads,backend,gateway_verify_tps,gateway_avg_latency_ms,gateway_p99_latency_ms,blockchain_submit_tps,blockchain_avg_latency_ms,blockchain_p99_latency_ms
10,10,100,1412.0296777691692,70.82004123170239,14.153780066408217,13.061087112873793,27.12415182031691,75034188,750341.88,0,4,hardhat,5905.5,0.22,0.81,71.7,13.93,26.91
50,10,500,8105.91213288717,61.683372802847,16.755048599094152,15.649631153792143,32.22188795916736,375036768,750073.536,0,10,hardhat,4241.0,0.8,3.06,62.6,15.96,31.97
100,10,1000,17939.53563296236,55.74280296099669,19.095451903063804,17.312858952209353,39.08088500611484,750036744,750036.744,0,20,hardhat,4895.0,1.39,4.92,56.4,17.71,37.71
200,10,2000,33843.033037148416,59.09635811319464,19.26046657387633,17.66993384808302,38.421046920120716,1500039216,750019.608,0,40,hardhat,5109.9,2.56,9.31,59.8,16.7,33.98
500,10,5000,87273.20687193424,57.29135182733758,22.994980036793276,21.62697701714933,45.37080321460962,3750048336,750009.6672,0,100,hardhat,5219.4,5.75,21.95,57.9,17.24,34.37
